Constituency	x1	y1	x2	y2	x3	y3	x4	y4	x5	y5	x6	y6
Derbyshire Mid	884	1017.446	871.5	995.795	846.5	995.795	834	1017.446	846.5	1039.097	871.5	1039.097
Derbyshire North East	921.5	1039.097	909	1017.446	884	1017.446	871.5	1039.097	884	1060.748	909	1060.748
Derbyshire South	921.5	995.795	909	974.144	884	974.144	871.5	995.795	884	1017.446	909	1017.446
Devizes	884	1104.05	871.5	1082.399	846.5	1082.399	834	1104.05	846.5	1125.701	871.5	1125.701
Devon Central	659	1666.976	646.5	1645.325	621.5	1645.325	609	1666.976	621.5	1688.627	646.5	1688.627
Devon East	396.5	1775.231	384	1753.58	359	1753.58	346.5	1775.231	359	1796.882	384	1796.882
Devon North	471.5	1775.231	459	1753.58	434	1753.58	421.5	1775.231	434	1796.882	459	1796.882
Devon South West	396.5	1731.929	384	1710.278	359	1710.278	346.5	1731.929	359	1753.58	384	1753.58
Devon West & Torridge	396.5	1861.835	384	1840.184	359	1840.184	346.5	1861.835	359	1883.486	384	1883.486
Dewsbury	359	1796.882	346.5	1775.231	321.5	1775.231	309	1796.882	321.5	1818.533	346.5	1818.533
Don Valley	959	844.238	946.5	822.587	921.5	822.587	909	844.238	921.5	865.889	946.5	865.889
Doncaster Central	1034	887.54	1021.5	865.889	996.5	865.889	984	887.54	996.5	909.191	1021.5	909.191
Doncaster North	1071.5	865.889	1059	844.238	1034	844.238	1021.5	865.889	1034	887.54	1059	887.54
Dorset Mid & Poole North	1071.5	822.587	1059	800.936	1034	800.936	1021.5	822.587	1034	844.238	1059	844.238
Dorset North	546.5	1731.929	534	1710.278	509	1710.278	496.5	1731.929	509	1753.58	534	1753.58
Dorset South	584	1710.278	571.5	1688.627	546.5	1688.627	534	1710.278	546.5	1731.929	571.5	1731.929
Dorset West	584	1796.882	571.5	1775.231	546.5	1775.231	534	1796.882	546.5	1818.533	571.5	1818.533
Dover	546.5	1775.231	534	1753.58	509	1753.58	496.5	1775.231	509	1796.882	534	1796.882
Down North	1371.5	1645.325	1359	1623.674	1334	1623.674	1321.5	1645.325	1334	1666.976	1359	1666.976
Down South	209	757.634	196.5	735.983	171.5	735.983	159	757.634	171.5	779.285	196.5	779.285
Dudley North	171.5	822.587	159	800.936	134	800.936	121.5	822.587	134	844.238	159	844.238
Dudley South	659	1147.352	646.5	1125.701	621.5	1125.701	609	1147.352	621.5	1169.003	646.5	1169.003
Dulwich & West Norwood	659	1190.654	646.5	1169.003	621.5	1169.003	609	1190.654	621.5	1212.305	646.5	1212.305
Dumfries & Galloway	1071.5	1558.721	1059	1537.07	1034	1537.07	1021.5	1558.721	1034	1580.372	1059	1580.372
Dumfriesshire, Clydesdale & Tweeddale	621.5	519.473	609	497.822	584	497.822	571.5	519.473	584	541.124	609	541.124
Dunbartonshire East	696.5	519.473	684	497.822	659	497.822	646.5	519.473	659	541.124	684	541.124
Dunbartonshire West	584	281.312	571.5	259.661	546.5	259.661	534	281.312	546.5	302.963	571.5	302.963
Dundee East	584	238.01	571.5	216.359	546.5	216.359	534	238.01	546.5	259.661	571.5	259.661
Dundee West	696.5	216.359	684	194.708	659	194.708	646.5	216.359	659	238.01	684	238.01
Dunfermline & Fife West	734	238.01	721.5	216.359	696.5	216.359	684	238.01	696.5	259.661	721.5	259.661
Durham, City of	696.5	259.661	684	238.01	659	238.01	646.5	259.661	659	281.312	684	281.312
Durham North	884	584.426	871.5	562.775	846.5	562.775	834	584.426	846.5	606.077	871.5	606.077
Durham North West	846.5	606.077	834	584.426	809	584.426	796.5	606.077	809	627.728	834	627.728
Dwyfor Meirionnydd	809	584.426	796.5	562.775	771.5	562.775	759	584.426	771.5	606.077	796.5	606.077
Ealing Central & Acton	509	1147.352	496.5	1125.701	471.5	1125.701	459	1147.352	471.5	1169.003	496.5	1169.003
Ealing North	921.5	1428.815	909	1407.164	884	1407.164	871.5	1428.815	884	1450.466	909	1450.466
Ealing Southall	884	1450.466	871.5	1428.815	846.5	1428.815	834	1450.466	846.5	1472.117	871.5	1472.117
Easington	884	1493.768	871.5	1472.117	846.5	1472.117	834	1493.768	846.5	1515.419	871.5	1515.419
East Ham	959	541.124	946.5	519.473	921.5	519.473	909	541.124	921.5	562.775	946.5	562.775
East Kilbride, Strathaven & Lesmahagow	1221.5	1472.117	1209	1450.466	1184	1450.466	1171.5	1472.117	1184	1493.768	1209	1493.768
East Lothian	584	454.52	571.5	432.869	546.5	432.869	534	454.52	546.5	476.171	571.5	476.171
Eastbourne	771.5	389.567	759	367.916	734	367.916	721.5	389.567	734	411.218	759	411.218
Eastleigh	1259	1710.278	1246.5	1688.627	1221.5	1688.627	1209	1710.278	1221.5	1731.929	1246.5	1731.929
Eddisbury	809	1753.58	796.5	1731.929	771.5	1731.929	759	1753.58	771.5	1775.231	796.5	1775.231
Edinburgh East	621.5	995.795	609	974.144	584	974.144	571.5	995.795	584	1017.446	609	1017.446
Edinburgh North & Leith	734	367.916	721.5	346.265	696.5	346.265	684	367.916	696.5	389.567	721.5	389.567
Edinburgh South	734	411.218	721.5	389.567	696.5	389.567	684	411.218	696.5	432.869	721.5	432.869
Edinburgh South West	696.5	432.869	684	411.218	659	411.218	646.5	432.869	659	454.52	684	454.52
Edinburgh West	696.5	389.567	684	367.916	659	367.916	646.5	389.567	659	411.218	684	411.218
Edmonton	696.5	346.265	684	324.614	659	324.614	646.5	346.265	659	367.916	684	367.916
Ellesmere Port & Neston	1146.5	1385.513	1134	1363.862	1109	1363.862	1096.5	1385.513	1109	1407.164	1134	1407.164
Elmet & Rothwell	546.5	952.493	534	930.842	509	930.842	496.5	952.493	509	974.144	534	974.144
Eltham	996.5	692.681	984	671.03	959	671.03	946.5	692.681	959	714.332	984	714.332
Enfield North	1184	1537.07	1171.5	1515.419	1146.5	1515.419	1134	1537.07	1146.5	1558.721	1171.5	1558.721
Enfield Southgate	1109	1363.862	1096.5	1342.211	1071.5	1342.211	1059	1363.862	1071.5	1385.513	1096.5	1385.513
Epping Forest	1071.5	1342.211	1059	1320.56	1034	1320.56	1021.5	1342.211	1034	1363.862	1059	1363.862
Epsom & Ewell	1146.5	1342.211	1134	1320.56	1109	1320.56	1096.5	1342.211	1109	1363.862	1134	1363.862
